Taxa,Location,Year,Rep,DTA,PH,GNP,TGW,YPP,ADF,Amylose,Cal.g,Fat,Fe,IVSD,Mg,Mn,Moisture,NDF,N.mg,P,Prolamin,Protein,Starch,Zn
PI595714,SC,2013,2,NA,81,2371,24.4,61,5.9,14.7,4035,2.22,38.29,52.6,1284,13.49,11.03,7.96,8.19,0.318,4.27,9.97,69.4,18.25
PI595718,SC,2013,2,60,119,2111,18.8,39.2,4.85,13,4012,2.45,34.64,53.8,1194,13.18,11.04,8.01,7.41,0.297,3.81,9.07,71.7,18.33
PI595720,SC,2013,2,NA,100,1343,30.8,40.4,5.61,17.9,4067,2.32,40.75,51.9,1513,12.66,10.51,9.27,8.96,0.344,4.03,11.11,68.3,17.11
PI595739,SC,2013,2,66,193,1024,24.9,25.8,5.56,15.9,4116,2.66,46.53,50.9,1652,14.95,11.1,7.74,10.53,0.376,5.17,13.19,68.7,20.23
PI595740,SC,2013,2,NA,144,1733,23.4,40.5,6.48,16.3,4119,2.62,41.46,43.9,1452,12.8,11.03,11.46,8.93,0.336,4.88,10.9,68.6,16.07
PI595741,SC,2013,2,56,131,2017,13.1,25.8,4.62,14.9,4133,3.36,44.61,52.5,1636,15.08,10.66,7.62,9.84,0.365,4.72,12.13,67.9,22.41
PI595743,SC,2013,2,NA,100,NA,NA,NA,7.67,17,4138,2.42,44.6,45.9,1542,13.94,11.19,10.3,9.99,0.349,5.31,12.21,69,18.29
PI595744,SC,2013,2,NA,128,632,25.2,17.6,5.72,16.9,4099,2.5,46.82,52.7,1595,14.43,10.94,8.26,10.04,0.357,4.56,12.45,68.9,20.1
PI595745,SC,2013,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI597945,SC,2013,2,68,107,1256,24,31.1,6.15,7.9,4047,2.12,44.99,55.6,1593,16.37,10.41,10.19,8.99,0.37,4.05,11.22,60.5,23.24
PI597946,SC,2013,2,60,132,937,13.3,13.4,6.85,15.3,4108,2.8,44.4,52.9,1553,15.1,10.91,7.65,9.34,0.357,4.46,11.37,66.6,22.6
PI597949,SC,2013,2,NA,132,2739,13.5,37.7,5.39,18.6,4194,3.48,49.86,49.1,1786,15.84,10.23,9.42,11.59,0.407,5.09,14.61,65.7,21.93
PI597950,SC,2013,2,63,179,1022,20.3,22.8,5.24,17.2,4100,3.01,41.19,53,1525,15.52,10.84,6.95,9.32,0.349,4.48,11.46,69.5,22.39
PI597951,SC,2013,2,65,135,1309,23.9,32.5,5.31,14.3,4018,1.77,39.08,54.2,1299,13.65,10.74,8.78,8.86,0.306,4.04,10.67,69.6,18.9
PI597952,SC,2013,2,NA,106,1398,21.4,32,7.88,15.2,4100,2.72,48.78,50.7,1419,15.61,10.79,9.07,9.94,0.346,4.87,12.22,67.1,21.91
PI597957,SC,2013,2,NA,108,1001,19.2,20.3,4.49,19.1,4113,2.68,33.66,45,1546,13.71,11.03,8.74,9.56,0.356,4.98,12.05,70.6,17.02
PI597958,SC,2013,2,68,111,1677,18.6,31.8,5.3,20.2,4169,3.35,43.02,46.8,1676,14.94,10.92,8.6,10.5,0.366,5.23,12.72,68,20.72
PI597960,SC,2013,2,NA,97,1270,24.9,32.3,5.07,20.7,4130,2.44,48.02,52.8,1647,14.89,10.03,11.27,11.15,0.369,4.47,13.9,67.4,18.7
PI597961,SC,2013,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI597964,SC,2013,2,74,118,1602,36,59.5,6.08,17.2,4093,2.72,43.11,46.4,1418,13.82,10.77,9.42,9.21,0.342,4.56,11.34,68.4,18.75
PI597965,SC,2013,2,68,130,1519,26.9,45.3,5.46,14.1,4015,2.23,30.34,47.6,1155,12.35,10.98,9.2,6.9,0.296,3.78,8.52,71.9,14.85
PI597966,SC,2013,2,68,94,2380,17.2,44.6,6.76,17,4079,2.27,42.34,49.1,1281,13.78,11.04,9.78,8.74,0.308,4.3,10.38,67.8,18.39
PI597967,SC,2013,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI597968,SC,2013,2,NA,126,2161,27.7,59.4,6.57,15.4,4140,2.88,39.28,46.7,1577,14.31,11.08,8.94,9.87,0.362,4.92,12.36,67.7,18.85
PI597971,SC,2013,2,NA,124,1061,21.3,25.1,6.68,17.4,4106,2.78,48.78,48.6,1516,13.53,10.58,10.82,8.85,0.349,4.36,11.01,66.6,18.13
PI597972,SC,2013,2,NA,152,1623,36.7,59.8,7.47,16,4171,3.03,47.85,48.3,1577,14.32,10.26,11.99,10.51,0.363,4.62,13.05,66,18.63
PI597973,SC,2013,2,70,142,630,26.9,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI597976,SC,2013,2,68,167,1652,23.4,41.5,5.71,17.5,4087,2.85,46.91,53.7,1533,15.03,10.76,9.03,8.77,0.347,4.11,10.59,67,21.59
PI597980,SC,2013,2,56,110,2036,19.7,41.1,7.67,16.6,4148,3.09,49.6,54.3,1718,16.16,10.51,8.53,11.13,0.392,5.24,13.68,63.6,23.04
PI597982,SC,2013,2,56,168,1238,22.4,28.4,7.6,18.1,4148,2.25,49.68,48.1,1453,14.16,10.36,12.87,10.48,0.34,4.65,12.78,66.5,17.4
PI598069,SC,2013,2,79,287,30,19.2,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI598070,SC,2013,2,81,251,264,16.5,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI601816,SC,2013,2,70,205,925,33.7,34.3,4.1,15.5,4059,2.74,44.96,50.1,1372,14.46,11.08,7.13,8.78,0.324,4.52,10.44,68.7,19.79
PI607931,SC,2013,2,68,124,1104,20,23.1,5.64,15.5,4115,2.76,47.64,52.5,1508,15.71,10.81,8.67,10.77,0.359,4.92,13.22,66,21.12
PI609456,SC,2013,2,97,346,28,3.3,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI613536,SC,2013,2,NA,131,544,40.3,24.8,5.09,14.7,4062,2.14,41.37,50.9,1451,13.79,10.85,8.73,8.89,0.337,4.25,11.03,69.6,18.44
PI629034,SC,2013,2,NA,102,2043,23.1,47.8,4.36,19.4,4093,2.47,40.08,52.5,1530,12.47,10.4,10.5,8.95,0.341,3.89,11.14,69.9,16.97
PI629040,SC,2013,2,70,87,2720,13.9,37.3,5.18,13.9,4054,2.06,29.5,50.3,1457,13.14,11.04,7.57,8.66,0.339,4.25,10.84,70.6,16.54
PI629059,SC,2013,2,NA,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI641824,SC,2013,2,72,272,2307,18.8,46.1,6.95,19,4165,3.54,50.94,46.4,1508,12.82,10.66,11.94,8.26,0.334,4.2,9.97,67.5,17.09
PI641836,SC,2013,2,NA,282,2351,18.5,43.7,7.42,18.3,4128,2.82,46.05,43.8,1506,12.62,10.83,12.5,8.24,0.345,4.59,10.3,69,15.19
PI641849,SC,2013,2,54,230,980,20.4,21.9,7.53,17.9,4201,3.54,56.79,46.4,1741,13.64,10.87,11.01,9.79,0.382,5.06,12.08,66.6,18.67
PI641874,SC,2013,2,65,102,1555,22.9,36.6,6.2,12.2,4096,1.96,50.15,53.4,1527,15.3,10.59,8.47,10.94,0.366,4.89,13.61,65.5,21.27
PI642791,SC,2013,2,70,115,1587,19.6,33.4,5.16,17.7,4121,2.46,42.58,46.3,1426,14.17,10.73,10.4,10.2,0.338,4.96,12.71,69.6,18.33
PI642793,SC,2013,2,68,125,2441,22.4,56.5,6.15,18.4,4109,2.51,45.25,50,1395,14.11,10.29,11.08,10.14,0.329,4.42,12.39,67.9,18.62
PI642992,SC,2013,2,68,258,2182,24,61.4,6.45,14.7,4081,2.51,36.83,49.3,1296,12.99,10.66,10.21,8.49,0.316,4,10.43,70.5,16.16
PI642998,SC,2013,2,68,317,1420,19.5,30.1,7,15.7,4169,3.43,51.12,45.5,1656,14.46,10.44,10.58,10.07,0.395,4.93,12.9,67.4,19.14
PI651492,SC,2013,2,97,314,1167,12.4,17,8.2,14.3,4088,2.04,55.28,47.2,1503,13.86,11,11.48,9.66,0.373,5.14,12.01,64.6,18.45
PI651496,SC,2013,2,77,333,1908,17.4,34.9,8.74,16.5,4087,1.89,49.68,44.7,1466,13.29,10.96,12.81,9.5,0.356,5.16,11.44,64.6,16.22
PI653616,SC,2013,2,77,301,1163,20.9,25.1,7.38,17.8,4157,2.88,47.1,42.5,1464,12.39,10.15,14.69,8.99,0.347,4.36,11.23,66.8,13.89
PI653617,SC,2013,2,NA,309,889,20.8,19.9,7.64,17.1,4191,3.48,59.03,46.9,1721,15.97,11.07,8.14,10.91,0.398,5.57,13.26,64.3,23.46
PI655970,SC,2013,2,NA,216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI655971,SC,2013,2,63,125,1182,28.6,33.5,4.6,13.8,4063,2.79,38.5,52.1,1379,13,10.79,8.31,8.25,0.319,3.95,10.14,71.2,17.37
PI655972,SC,2013,2,NA,221,1966,21.5,46.3,4.58,16.9,4148,3.44,53.97,48.9,1598,14.14,10.59,8.26,9.45,0.36,4.61,11.71,68,19.91
PI655973,SC,2013,2,NA,239,868,38.9,34.5,6.25,15.7,4118,3.01,43.96,50.9,1491,14.03,10.47,10.27,9.25,0.346,4.32,11.57,69.6,17.97
PI655974,SC,2013,2,63,210,1008,27,29,6.99,20,4179,3.42,55.52,50.5,1822,15.72,10.22,9.27,11.14,0.396,4.86,13.99,64.6,21.49
PI655975,SC,2013,2,NA,108,1412,28.4,42.2,4.34,17.4,4052,2.33,36.95,53.2,1381,10.71,10.64,11.88,7.12,0.307,3.19,9.19,71.7,13.09
PI655976,SC,2013,2,60,191,1214,18.7,24.5,5.31,14.2,4085,3.12,41.22,53.2,1431,13.68,10.96,7.65,8.45,0.326,4.13,10.34,69.7,20.45
PI655977,SC,2013,2,72,83,1407,24,30.9,5.82,16.1,4108,2.48,48.72,52.2,1519,14.64,10.51,10.03,9.95,0.361,4.5,12.34,67.2,20.86
PI655978,SC,2013,2,68,100,1018,16.6,21,5.12,15.8,4007,1.83,38.88,52.4,1381,13.89,11.28,6.45,8.72,0.32,4.38,10.48,70.3,19.97
PI655979,SC,2013,2,70,104,1549,28.7,44.6,4.1,12.9,4047,2.61,28.09,47.5,1284,12.09,11.26,8.49,7.41,0.306,4.15,9.2,72.5,15.27
PI655980,SC,2013,2,NA,282,1124,21.6,26.3,7.82,20.3,4088,1.83,48.65,49.2,1330,12.46,10.7,13.52,8.46,0.297,3.83,9.88,68.3,16.37
PI655981,SC,2013,2,NA,282,1204,30.5,37.7,6.46,15,4122,3.03,51.35,49.2,1628,15.53,11.26,5.05,10.59,0.393,5.43,13.01,67.1,23.32
PI655982,SC,2013,2,63,98,1392,21.8,30.4,5.04,15.3,4089,2.38,33.48,47.4,1363,12.45,10.85,10.95,8.74,0.312,4.42,10.85,71.7,15.49
PI655983,SC,2013,2,NA,408,2357,21.6,51.8,7.7,19.3,4117,2.53,45.91,45.7,1460,13.49,10.95,10.68,8.94,0.344,4.62,10.94,66.7,17.3
PI655984,SC,2013,2,63,149,NA,NA,NA,6.88,17,4102,2.44,47.44,52.4,1507,14.35,10.56,8.79,10.41,0.363,4.66,12.79,67.4,20.19
PI655985,SC,2013,2,68,122,1226,21.5,26.7,4.53,14.9,4096,2.94,38.71,50.4,1414,14.58,10.76,8.59,9.35,0.333,4.39,11.52,69.3,19.77
PI655986,SC,2013,2,68,126,2038,22.6,43.9,4.56,16.6,4085,2.77,42.33,51.9,1501,12.92,10.68,8.41,8.86,0.346,3.94,11.16,70.8,17.09
PI655987,SC,2013,2,68,144,923,23.5,24.1,5.6,18.3,4108,2.55,45.39,49.4,1461,14.94,10.48,9.86,10.32,0.343,4.57,12.72,69.1,20.14
PI655988,SC,2013,2,65,128,1934,22,41.8,4.63,15,4090,2.85,32.24,48.1,1366,12.97,10.53,10.25,8.34,0.316,4.12,10.42,71.4,16.19
PI655989,SC,2013,2,NA,114,1426,20.1,34,5.55,16.1,4084,2.71,40.88,51.7,1485,13.49,10.77,9.14,8.79,0.335,4.05,10.75,69.6,18.54
PI655990,SC,2013,2,NA,119,1267,32.7,44,4.91,15,4098,2.56,46.36,50.7,1468,15.28,10.64,9.09,10.27,0.346,4.79,12.67,69.1,19.56
PI655991,SC,2013,2,NA,140,1541,26.3,40.3,5.14,17.3,4062,2.06,31.59,50.3,1362,12.68,10.93,9.4,8.97,0.318,4.13,11,70.8,16.15
PI655992,SC,2013,2,68,135,1172,27.2,31.4,5.29,18.6,4114,2.94,37.21,49.4,1481,13.47,10.47,9.22,9.3,0.339,4.2,11.52,69.7,17.69
PI655993,SC,2013,2,68,118,823,32,29.9,5.6,15.9,4078,2.12,33.56,47.1,1366,12.74,11.01,10.69,8.91,0.318,4.57,11,71,16.07
PI655994,SC,2013,2,68,212,1618,24.6,38.2,7.73,15.8,4177,3.77,50.11,47.5,1603,15.03,10.47,10.77,10.09,0.374,4.76,12.42,64.7,20.39
PI655995,SC,2013,2,81,249,186,12.1,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI655996,SC,2013,2,70,123,2142,28.9,62.2,4.6,17.9,4037,2.29,33.38,51.6,1280,11.82,10.54,11.26,7.18,0.293,3.16,8.72,71.6,13.84
PI655997,SC,2013,2,72,115,1510,17.4,23.7,5.12,15.2,4086,2.42,40.72,52.7,1459,14.16,10.71,8.85,9.73,0.347,4.3,12.27,68.7,18.82
PI655998,SC,2013,2,68,90,1726,21.2,37.5,5.35,15.6,4079,2.16,41.08,49.3,1586,12.55,10.52,12.51,8.98,0.344,4.22,11.29,69.8,15.3
PI655999,SC,2013,2,74,205,549,19,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI656000,SC,2013,2,NA,117,1073,17.4,20.8,4.91,18.5,4119,3.38,45.31,50,1548,13.42,10.4,9.73,8.63,0.335,4.07,10.32,68,17.92
PI656001,SC,2013,2,70,108,1317,23.6,33,5.09,15.1,4178,2.9,51.16,52.2,1636,14.34,9.82,12.37,10.39,0.366,4.06,12.86,65.5,18.96
PI656002,SC,2013,2,NA,111,1045,22.5,25.4,4.14,12.8,4045,2.78,32.18,50.1,1360,12.76,11.15,7.43,7.25,0.317,3.87,9.01,72.6,16.25
PI656003,SC,2013,2,NA,156,2279,18.2,42.6,7.55,19.7,4150,3.2,47.93,46.1,1457,12.48,10.18,13.82,8.54,0.334,3.68,10.46,67.9,15.05
PI656004,SC,2013,2,NA,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI656005,SC,2013,2,65,102,1616,24.6,38.1,5.1,18.5,4122,2.99,46.22,48.6,1504,15.03,10.69,8.79,9.89,0.349,4.82,12,67.7,19.78
PI656006,SC,2013,2,68,122,1444,23.8,34.6,4.63,14.7,4111,3.04,44.98,50.7,1502,13.88,10.3,10.07,9.15,0.341,3.97,11.37,69.5,17.35
PI656007,SC,2013,2,65,112,1021,20.6,21.7,4.55,19.1,4096,2.95,37.25,47.6,1392,12.76,10.27,11.56,8.23,0.317,3.93,10.26,70,16.1
PI656008,SC,2013,2,72,163,1964,29.4,53.8,4.6,20.2,4068,2.23,37.87,46.1,1479,13.08,10.99,9.6,8.84,0.345,4.37,10.82,69.8,16.66
PI656009,SC,2013,2,NA,107,1898,22.9,47.3,4.97,12.3,4066,2.36,36.89,48.7,1354,13.65,10.97,8.84,9.46,0.33,4.74,11.75,71.1,18.03
PI656010,SC,2013,2,72,133,886,27.1,25.7,4.73,18,4134,3.15,40.57,47.3,1618,14.59,10.89,8.04,9.91,0.363,4.98,12.07,68.9,19.76
PI656011,SC,2013,2,77,140,2886,17.4,50.6,4.82,17.7,4041,2,34.41,49.9,1280,11.4,10,13.7,7.59,0.296,3.11,9.39,69.6,12.22
PI656012,SC,2013,2,83,173,1707,28.1,47.7,4.52,15.3,4086,2.73,31.4,48.1,1488,13.6,11.18,7.19,8.89,0.341,4.55,11.11,70.6,17.32
PI656013,SC,2013,2,NA,223,2205,26.3,59.9,5.53,15.8,4138,3.64,36.45,46.9,1428,13.2,10.67,10.55,8.01,0.333,4.08,9.82,68,16.59
PI656014,SC,2013,2,74,234,1692,14.8,26.3,5.33,19.2,4165,3.42,45.11,43,1658,14.34,10.94,8.77,9.97,0.384,5.54,12.51,67.6,18.84
PI656015,SC,2013,2,68,139,1355,42.1,59.6,6.78,14.9,4099,2.56,44.7,52.7,1499,13.42,10.43,9.76,9.52,0.347,4.27,11.89,69.4,18.08
PI656016,SC,2013,2,70,112,1429,14.7,21.1,4.68,17,4093,2.76,40.01,48.4,1490,13.5,10.52,9.78,9.03,0.342,4.31,11.21,69.6,18.05
PI656017,SC,2013,2,110,178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI656018,SC,2013,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI656019,SC,2013,2,70,100,1458,22.6,35.2,5.05,16.4,4070,2.1,35.61,46.2,1405,13.06,11.3,9.12,8.94,0.321,4.81,10.85,71.9,16.17
PI656020,SC,2013,2,60,104,1080,28.2,34,5.83,15.7,4145,2.93,54.25,53.4,1666,16.62,10.9,5.81,11.91,0.389,5.48,14.49,65.7,24.68
PI656021,SC,2013,2,65,112,1091,21.8,22.9,5.99,16.2,4121,2.66,59.2,52.1,1528,13.83,9.96,11.19,10.11,0.343,4.14,12.42,67.9,17.94
PI656022,SC,2013,2,68,124,1831,27.6,53.9,6.07,6.3,4139,3.23,49.77,49.5,1529,15.9,10.64,8.18,10.06,0.367,5.08,13.12,66.9,21.2
PI656023,SC,2013,2,61,201,1829,25.1,51.8,3.68,19,4080,3.01,43.62,49.4,1385,11.28,10.68,9.09,7.38,0.317,3.55,9.25,72.1,15
PI656024,SC,2013,2,81,181,1600,20.5,38.2,5.14,14.1,4049,2.46,37.79,47.5,1292,12.71,10.79,9.4,7.85,0.314,4.11,9.71,69.1,15.93
PI656025,SC,2013,2,63,178,1058,24.5,31.5,5.79,17.7,4112,3.07,45.52,47.3,1473,12.87,11.12,9.42,8.11,0.342,4.47,9.93,68.9,16.67
PI656026,SC,2013,2,72,148,1497,29.2,49.8,5.32,16.8,4070,2.56,37.22,48.5,1361,13.43,10.71,9.11,8.63,0.324,4.15,10.71,71,17.6
PI656027,SC,2013,2,72,172,911,22.9,21.6,4.62,18.5,3999,1.6,28.6,50,1355,13.14,11.61,5.45,8.31,0.329,4.33,10.25,72.4,16.76
PI656028,SC,2013,2,68,283,1537,28.1,41.5,4.38,17.7,4071,2.1,45.19,48.9,1456,13.76,11.04,7.6,9.49,0.355,4.62,11.82,68.9,19.06
PI656029,SC,2013,2,NA,115,890,24.9,24.2,5.88,15.9,4160,3.6,49.04,51,1720,15.75,11.02,7.59,10.19,0.375,4.86,12.24,65.5,22.8
PI656030,SC,2013,2,53,133,543,32.8,18.8,5.14,17.7,4116,2.08,36.35,44.9,1553,13.83,11.28,8.83,10.5,0.367,5.49,13.31,69.2,17.5
PI656031,SC,2013,2,NA,151,850,30.5,26.6,5.7,17.1,4065,2.43,39.54,50.5,1437,15.1,10.97,8.06,9.84,0.348,4.66,12.06,68.9,20.38
PI656032,SC,2013,2,75,319,2226,23.7,52.2,5.35,17.2,4105,2.92,44.9,46.5,1422,11.43,10.33,10.75,7.9,0.329,3.7,10.06,69.5,13.34
PI656033,SC,2013,2,74,129,1069,30.4,34.7,4.6,10.9,4048,2.37,36.4,50,1301,13.65,11.13,7.66,8.58,0.321,4.23,10.79,72,17.69
PI656034,SC,2013,2,72,189,2158,34.6,76.4,4.37,16.6,4029,2.11,28.73,46.9,1252,11.7,10.88,10.08,7.74,0.301,4.04,9.53,72.5,13.47
PI656035,SC,2013,2,63,275,864,24.2,22.7,5.83,16.4,4116,2.84,49.64,53.4,1568,15.17,10.62,8.2,10.82,0.37,4.9,13.23,67,22.77
PI656036,SC,2013,2,NA,97,2110,30.7,65.8,5.22,16.3,4035,2.14,36.13,47.7,1286,11.86,10.64,10.51,7.58,0.308,3.71,9.38,71.1,14.57
PI656037,SC,2013,2,70,183,1499,33.1,50.2,5.2,16.1,4040,1.94,31.81,47.3,1244,11.8,10.7,11.07,8.06,0.306,3.84,10.02,70.2,13.42
PI656038,SC,2013,2,74,309,1571,19.7,34.4,7.62,17.6,4075,2.21,40.37,45.3,1385,12.42,11.45,10.44,7.97,0.315,4.64,9.47,71.3,15.79
PI656039,SC,2013,2,50,128,386,24.4,12.9,5.95,15.7,4054,1.7,36.33,53.3,1550,14.44,11.06,7.16,9.77,0.346,4.39,12.18,70.4,20.47
PI656040,SC,2013,2,NA,123,1385,20.2,28.9,5.19,13.2,4072,2.3,36.55,51.3,1545,14.27,10.91,7.67,9.55,0.359,4.53,12.17,70.7,19.45
PI656041,SC,2013,2,74,128,799,30.4,25.3,5.12,16,4057,2.13,46.72,51.6,1419,14.39,11.09,7.43,9.97,0.34,4.66,12.17,69.7,19.89
PI656042,SC,2013,2,NA,81,1589,18.8,31.9,5.27,13.3,4037,2.29,36.91,52.4,1301,14.37,11.1,6.18,8.61,0.312,4.11,10.51,71.9,18.79
PI656043,SC,2013,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI656044,SC,2013,2,72,164,2622,21.6,56.9,4.41,17,4009,1.97,41.2,48.9,1165,11.02,10.56,10.51,6.74,0.283,3.16,8.39,72.9,12.74
PI656046,SC,2013,2,NA,141,1814,24.8,43,7.12,13.4,4182,3.7,50.19,49.3,1629,15.78,10.44,10.48,10.87,0.384,5,13.53,64.7,21.85
PI656047,SC,2013,2,79,299,319,19,7,4.24,12.7,4040,2.07,42.92,50.4,1389,14.67,11.19,7.57,9.37,0.328,4.57,11.41,69.8,20.18
PI656048,SC,2013,2,NA,140,1789,18.6,35.2,2.99,16.2,4015,1.78,30.78,43.3,1470,11.48,11.02,10.64,7.92,0.336,4.73,9.78,73.3,12.81
PI656049,SC,2013,2,68,221,1145,27.1,31.9,4.08,16.2,4122,3.12,35.88,45.8,1573,13.71,10.99,7.77,9.19,0.361,4.94,11.6,70.3,17.28
PI656050,SC,2013,2,65,290,1969,25.9,50.8,5.19,18.5,4083,2.61,42.25,52.9,1459,14.14,11.01,7.37,8.77,0.358,3.98,11,70.3,19.86
PI656051,SC,2013,2,77,126,1991,22.9,46.4,4.5,16.8,4058,2.42,29.69,46,1380,11.63,10.88,10.76,7.8,0.318,4.15,9.52,69.7,13.64
PI656052,SC,2013,2,68,101,1364,22,30.8,5.53,13.5,4066,2.44,37.47,55.5,1527,14.12,10.73,8.43,8.58,0.339,3.96,10.68,68,19.98
PI656053,SC,2013,2,NA,105,1171,21.3,25.3,5.62,15.1,4125,2.96,39.38,48.6,1547,14.04,10.49,9.92,9.75,0.354,4.54,11.98,67.8,18.2
PI656054,SC,2013,2,NA,425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI656055,SC,2013,2,NA,99,916,22.6,22.3,5.22,20,4140,3.04,47.74,48.5,1595,15.45,10.43,9.73,10.58,0.366,4.83,12.95,67.8,21.14
PI656056,SC,2013,2,74,128,991,23.7,24.6,5.09,19.2,4218,3.78,46.55,46.1,1648,13.94,10,13.05,10.01,0.357,4.55,12.5,67.2,17.89
PI656057,SC,2013,2,81,163,1580,31.4,48.9,5.52,17,4048,1.84,41.46,47.1,1431,11.52,11.01,11.55,8.3,0.33,4.56,10.48,72.3,13.61
PI656058,SC,2013,2,68,112,1155,22.5,25.2,5.13,13.8,4106,3.09,33.63,48.2,1423,13.29,10.83,8.81,8.56,0.327,4.35,10.81,70.6,17.36
PI656059,SC,2013,2,NA,166,879,30.5,30,5.64,19.4,4129,2.76,48.35,48.3,1664,15.11,10.69,8.46,10.79,0.381,4.93,13.48,67.8,20.35
PI656060,SC,2013,2,NA,158,1651,21.6,36.4,5.46,16,4089,2.62,39.87,49.6,1395,14.45,10.99,7.52,9.31,0.333,4.31,11.5,69.7,19.32
PI656061,SC,2013,2,NA,134,1540,20,31.6,4.51,12.3,4059,2.42,28.45,52.2,1398,12.09,10.95,7.26,7.78,0.328,3.82,9.88,72.2,16.55
PI656062,SC,2013,2,72,153,1923,21.2,43.8,5.26,14.7,4051,2.45,43.52,50.9,1396,13.77,10.63,9.68,8.63,0.327,3.93,10.38,66.3,17.9
PI656063,SC,2013,2,NA,NA,2029,19,39.7,5.03,15.1,4116,2.94,43.02,50.2,1496,14.05,10.6,9.85,9.26,0.342,4.19,11.48,67.7,17.91
PI656064,SC,2013,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI656065,SC,2013,2,68,235,1069,34.6,36.2,6.84,15.5,4101,2.62,41.81,54.6,1450,13.84,10.34,10.83,9.03,0.335,4.01,11.14,66.9,18.89
PI656066,SC,2013,2,PS,327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI656067,SC,2013,2,131,388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI656068,SC,2013,2,74,95,2146,22.3,47.2,5.44,17.6,4097,2.7,40.44,50.4,1462,14.65,10.75,8.42,9.55,0.344,4.18,11.62,68.9,18.8
PI656069,SC,2013,2,85,87,1538,13.8,25.7,5.1,13.4,4067,2.05,34.85,46.6,1458,13.32,11.08,9.66,9.28,0.342,4.91,11.54,69.5,16.79
PI656070,SC,2013,2,74,112,1486,24.5,39.8,5.71,19,4125,2.71,46.6,47.6,1545,14.83,10.78,9.05,10.32,0.358,4.74,12.71,68.1,20.09
PI656071,SC,2013,2,74,153,1543,23,36.8,5.97,12.9,4052,2.76,30.91,49.2,1273,12.25,10.88,9.64,7,0.303,3.83,8.63,71.1,15.27
PI656072,SC,2013,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI656073,SC,2013,2,63,241,606,40.4,27.9,7.05,16.1,4098,2.51,45.56,51.7,1502,14.49,10.74,8.08,10.04,0.357,4.79,12.29,67.1,20.41
PI656074,SC,2013,2,63,317,521,32.9,18.2,6.94,13.6,4047,2.58,43.31,55.8,1422,15.03,10.87,8.18,8.43,0.342,4.16,10.44,65.5,21.81
PI656075,SC,2013,2,68,120,1067,26.5,32.2,6.17,19.1,4114,2.87,42.47,49.8,1557,15.47,10.68,8.97,10.31,0.365,4.62,12.62,66.1,20.24
PI656076,SC,2013,2,70,99,1618,21.5,35.5,4.73,15,4094,2.34,38.2,47.6,1504,14.47,10.77,9.05,10.26,0.36,5.05,12.9,69.1,18.48
PI656077,SC,2013,2,65,148,1517,24.5,37.9,4.99,19,4132,2.72,47.08,50.5,1621,14.18,10.57,9.19,9.99,0.386,4.48,12.65,67.6,19.3
PI656078,SC,2013,2,NA,115,640,19.9,14.9,5.75,15.5,4201,3.43,64.68,50.4,1877,17.88,10.64,6.29,12.89,0.427,5.95,16.16,66.4,25.32
